Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2240000,1.4690746,4.0,851.8157894736842,1.624801,15.936986129534873,15.936986129534873,0.043084987,0.01812508,0.00028663408,1.0
2272000,1.4285995,4.0,870.921052631579,1.7178541,16.64152862210023,16.64152862210023,0.052531786,0.01290459,0.00028644886,1.0
2304000,1.4146237,4.0,773.1951219512196,1.7120097,14.481842000782489,14.481842000782489,0.04652215,0.017234065,0.00028626388,1.0
2336000,1.4070427,4.0,881.4545454545455,1.6893054,17.129167079048997,17.129167079048997,0.032850496,0.016536571,0.00028607895,1.0
2368000,1.3952706,4.0,941.8285714285714,1.8336219,18.557636783804213,18.557636783804213,0.04011549,0.018271731,0.00028589397,1.0
2400000,1.360167,4.0,875.6756756756756,1.8688343,17.24540242311117,17.24540242311117,0.031167645,0.018828753,0.00028570925,1.0
2432000,1.3499871,4.0,946.5142857142857,1.950308,18.89581401518413,18.89581401518413,0.029430367,0.01601197,0.00028552435,1.0
2464000,1.3475254,4.0,931.5757575757576,1.9675624,18.79644392379399,18.79644392379399,0.025920838,0.020412967,0.00028527787,1.0
2496000,1.3423069,4.0,837.9736842105264,1.880307,16.39935458841778,16.39935458841778,0.044079762,0.014443654,0.00028509292,1.0
2528000,1.3194786,4.0,845.8421052631579,1.8299203,16.679807670806582,16.679807670806582,0.03396054,0.013779465,0.00028490828,1.0
2560000,1.3119484,4.0,945.0285714285715,1.8570665,18.879461336661787,18.879461336661787,0.02460918,0.012942487,0.00028472304,1.0
2592000,1.3191469,4.0,932.4848484848485,1.9140381,18.932649652747546,18.932649652747546,0.024296016,0.014364294,0.00028453761,1.0
2624000,1.3005478,4.0,958.5714285714286,2.036152,19.412265603882926,19.412265603882926,0.065544635,0.01764827,0.00028435283,1.0
2656000,1.2817478,4.0,944.5333333333333,2.0370748,19.204882689317067,19.204882689317067,0.019545864,0.01653233,0.0002841677,1.0
2688000,1.2622179,4.0,972.2352941176471,1.9964753,19.86536149417653,19.86536149417653,0.025276115,0.015900834,0.00028398316,1.0
2720000,1.2546288,4.0,936.6111111111111,1.9333233,19.034969326522614,19.034969326522614,0.024004733,0.016483568,0.0002837981,1.0
2752000,1.2379224,4.0,924.09375,1.9027753,18.706634934871428,18.706634934871428,0.06415097,0.018177323,0.00028355146,1.0
2784000,1.2203519,4.0,906.921052631579,2.0207553,18.525905071160732,18.525905071160732,0.021184744,0.015926577,0.0002833665,1.0
2816000,1.2093503,4.0,951.939393939394,2.0493705,19.486711673664324,19.486711673664324,0.015189171,0.017445223,0.0002831816,1.0
2848000,1.2022389,4.0,960.0322580645161,2.0455003,19.797299442752713,19.797299442752713,0.013100312,0.018319964,0.00028299628,1.0
2880000,1.1893936,4.0,943.4594594594595,1.9957789,19.44767830822919,19.44767830822919,0.020515146,0.015754133,0.00028281123,1.0
2912000,1.185854,4.0,964.21875,2.0354474,19.98812772333622,19.98812772333622,0.02622636,0.016405443,0.00028262677,1.0
2944000,1.1800609,4.0,935.2058823529412,2.096692,19.24058508872986,19.24058508872986,0.033024542,0.013194281,0.00028244226,1.0
2976000,1.1762987,4.0,947.8484848484849,2.0667095,19.70306924978892,19.70306924978892,0.027757442,0.01587745,0.00028225745,1.0
3008000,1.158412,4.0,930.2058823529412,2.058423,19.260373332044658,19.260373332044658,0.015057625,0.018831588,0.00028207275,1.0
